codigo_bdns,MRR,administracion,departamento,organo,fecha_registro,titulo_convocatoria,url_bases_regul,importe_total,tipo_beneficiario,sector_beneficiario,region_impacto,finalidad
617476,NO,SALAMANCA,AYUNTAMIENTO DE SALAMANCA,,25/03/2022,"CONVENIO DE COLABORACIÓN ENTRE TURISMO, COMERCIO Y PROMOCIÓN ECONÓMICA DE SALAMANCA, S.A.U. Y LA ASOCIACIÓN DE ANTIGUOS ALUMNOS Y AMIGOS DE LA UNIVERSIDAD DE SALAMANCA",https://salamanca.es/es/transparencia,"38,000.00 €",PERSONAS JURÍDICAS QUE NO DESARROLLAN ACTIVIDAD ECONÓMICA,Actividades asociativas,ES415 - Salamanca,"COMERCIO, TURISMO Y PYMES"
617471,NO,PEÑAMELLERA BAJA,AYUNTAMIENTO DE PEÑAMELLERA BAJA,,25/03/2022,BLINCAPEÑAS 2021,https://sedeelectronica.aytopbpanes.es/,"1,500.00 €",PERSONAS JURÍDICAS QUE NO DESARROLLAN ACTIVIDAD ECONÓMICA,"Actividades deportivas, recreativas y de entretenimiento",ES120 - Asturias,CULTURA
617470,NO,CABILDO INSULAR DE TENERIFE,CABILDO INSULAR DE TENERIFE,,25/03/2022,"Acuerdo Consejo de Gobierno Insular tramitación anticipada otorgamiento subvención directa a la Sociedad Mercantil Estatal Aguas de las Cuencas España, S.A para la ejecución y explotación de actuaciones de Saneamiento y Depuración en la Isla de Tenerife",https://transparencia.tenerife.es/economico-financiera/presupuesto-aprobado-inicialmente,"113,881,065.00 €",PERSONAS JURÍDICAS QUE NO DESARROLLAN ACTIVIDAD ECONÓMICA,"SUMINISTRO DE AGUA, ACTIVIDADES DE SANEAMIENTO, GESTIÓN DE RESIDUOS Y DESCONTAMINACIÓN",ES709 - Tenerife,INFRAESTRUCTURAS
617469,NO,REGIÓN DE MURCIA,INSTITUTO MURCIANO DE ACCION SOCIAL (I.M.A.S.),,25/03/2022,AYUNTAMIENTO DE LORCA MANTENIMIENTO CENTRO ATENCIÓN TEMPRANA,https://www.borm.es/services/anuncio/ano/2022/numero/310/pdf?id=799320,"249,963.00 €",PERSONAS JURÍDICAS QUE NO DESARROLLAN ACTIVIDAD ECONÓMICA,ACTIVIDADES SANITARIAS Y DE SERVICIOS SOCIALES,ES62 - REGION DE MURCIA,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL
617468,NO,COMUNITAT VALENCIANA,SECRETARÍA AUTONÓMICA DE ARQUITECTURA BIOCLIMÁTICA Y SOSTENIBILIDAD ENERGÉTICA,,25/03/2022,CONVENIO PARA ACTUACIONES URBANAS FINESTRAT 2022,NO DISPONIBLE,"80,000.00 €",PERSONAS JURÍDICAS QUE NO DESARROLLAN ACTIVIDAD ECONÓMICA,Construcción de edificios,ES521 - Alicante / Alacant,ACCESO A LA VIVIENDA Y FOMENTO DE LA EDIFICACIÓN
617467,NO,REGIÓN DE MURCIA,INSTITUTO MURCIANO DE ACCION SOCIAL (I.M.A.S.),,25/03/2022,AYUNTAMIENTO FORTUNA MANTENIMIENTO CENTRO DE ATENCIÓN TEMPRANA Y CENTRO OCUPACIONAL,https://www.borm.es/services/anuncio/ano/2022/numero/310/pdf?id=799320,"70,896.00 €",PERSONAS JURÍDICAS QUE NO DESARROLLAN ACTIVIDAD ECONÓMICA,ACTIVIDADES SANITARIAS Y DE SERVICIOS SOCIALES,ES62 - REGION DE MURCIA,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL
617466,NO,PEÑAMELLERA BAJA,AYUNTAMIENTO DE PEÑAMELLERA BAJA,,25/03/2022,CONVENIO ENTRE LA ASOCIACION BOLISTICA PICO PEÑAMELLERA Y EL AYUNTAMIENTO DE PEÑAMELLERA BAJA PARA EL AÑO 2021,https://sedeelectronica.aytopbpanes.es/,"3,500.00 €",PERSONAS JURÍDICAS QUE NO DESARROLLAN ACTIVIDAD ECONÓMICA,"Actividades deportivas, recreativas y de entretenimiento",ES120 - Asturias,CULTURA
617463,NO,VIC,AYUNTAMIENTO DE VIC,,25/03/2022,SUBVENCION ASSOCIACION DE VEÃ?NS DEL BARRI DELS CAPUTXINS,http://bop.diba.cat/anunci/3002539/aprovacio-definitiva-de-l-ordenanca-general-de-subvencions-ajuntament-de-vic,"1,890.00 €",PERSONAS JURÍDICAS QUE NO DESARROLLAN ACTIVIDAD ECONÓMICA,"ACTIVIDADES ARTÍSTICAS, RECREATIVAS Y DE ENTRETENIMIENTO",ES511 - Barcelona,CULTURA
617462,NO,COMUNITAT VALENCIANA,SECRETARÍA AUTONÓMICA DE ARQUITECTURA BIOCLIMÁTICA Y SOSTENIBILIDAD ENERGÉTICA,,25/03/2022,CONVENIO PARA ACTUACIONES URBANAS FAURA 2022,NO DISPONIBLE,"340,000.00 €",PERSONAS JURÍDICAS QUE NO DESARROLLAN ACTIVIDAD ECONÓMICA,Construcción de edificios,ES523 - Valencia / València,ACCESO A LA VIVIENDA Y FOMENTO DE LA EDIFICACIÓN
617460,NO,CABILDO INSULAR DE TENERIFE,CABILDO INSULAR DE TENERIFE,,25/03/2022,Resolución del Consejero Insular de Desarrollo Sostenible y Lucha contra el Cambio Climático otorgamiento subvención nominativa al Ayuntamiento de El Rosario para ejecución de la Estación Depuradora de Aguas Residuales del Polígono de La Campana.,https://transparencia.tenerife.es/economico-financiera/presupuesto-aprobado-inicialmente,"1,500,000.00 €",PERSONAS JURÍDICAS QUE NO DESARROLLAN ACTIVIDAD ECONÓMICA,"SUMINISTRO DE AGUA, ACTIVIDADES DE SANEAMIENTO, GESTIÓN DE RESIDUOS Y DESCONTAMINACIÓN",ES709 - Tenerife,INFRAESTRUCTURAS
